scope,key,period,speed_kmh,dwell_s,stop_delay_s,per_stop_time_s,terminal_hold_s,intercept_s,n_obs,rmse_s,se_speed_kmh
line,680路(上林苑小区--金蝉南里),am_peak,32.208276222307546,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,258,226.6622005909675,3.9031417236145134
line,680路(上林苑小区--金蝉南里),off_peak,68.1034889361818,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,642,154.9616042892506,3.859781331693879
line,680路(金蝉南里--上林苑小区),all,47.60697333086983,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,1012,189.00614287881606,1.5753491637869645
line,680路(金蝉南里--上林苑小区),am_peak,58.79835864942125,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,156,152.66600429816847,4.624574407252756
line,680路(金蝉南里--上林苑小区),pm_peak,35.06707295872699,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,222,230.42294565036045,2.80654781654489
line,680路(金蝉南里--上林苑小区),off_peak,51.3987930847577,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,596,153.5524785546369,2.0139392732634014
line,682路(阜安西路--青年路小区),all,55.756505982434554,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,1488,254.62321104512256,2.2680028523178644
line,682路(阜安西路--青年路小区),am_peak,36.52173613167297,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,230,273.18527480158707,3.845280919126914
line,682路(阜安西路--青年路小区),pm_peak,52.92437527438732,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,307,282.52454634575435,3.3566489693963333
line,682路(阜安西路--青年路小区),off_peak,62.9820370601542,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,918,213.17897630415032,2.916015117018448
line,682路(青年路小区--阜安西路),all,65.0694078328581,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,1718,218.59889660944373,2.653198319486432
line,682路(青年路小区--阜安西路),am_peak,68.75193096174226,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,403,167.8498391863396,5.863186446883692
line,682路(青年路小区--阜安西路),pm_peak,35.329807839598764,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,189,341.23630973413424,4.958184035519888
line,682路(青年路小区--阜安西路),off_peak,79.99999999985089,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,1109,165.6761170557442,4.141236143006281
line,68路(厂桥路口西--马官营西),all,45.33782548692041,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,2876,383.86923878721575,1.2971527095753501
line,68路(厂桥路口西--马官营西),am_peak,44.81523146356041,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,319,419.57036530183416,5.486012317013727
line,68路(厂桥路口西--马官营西),pm_peak,36.647869570883955,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,731,367.74234067212507,2.0917055785648833
line,68路(厂桥路口西--马官营西),off_peak,52.73226354970968,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,1784,355.4979757182412,1.8969901376359046
line,68路(马官营西--厂桥路口西),all,32.27581395146556,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,3963,542.1747632240496,1.5032540808852044
line,68路(马官营西--厂桥路口西),am_peak,20.08721737870886,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,931,492.3556826666205,1.0700038910255745
line,68路(马官营西--厂桥路口西),pm_peak,37.216783492898614,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,549,376.1001553107773,3.5587261564603336
line,68路(马官营西--厂桥路口西),off_peak,45.89817123870461,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,2464,553.1238988155616,2.663576568235153
line,690路(农业展览馆--定辛庄公交场站),all,52.63826170258628,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,692,509.37762833299917,4.155519911652506
line,690路(农业展览馆--定辛庄公交场站),off_peak,55.12808149086495,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,454,527.6851759838488,4.911443316793619
line,690路(定辛庄公交场站--农业展览馆),all,54.34676802808997,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,206,138.6534764939764,5.462313501319245
line,692路(先农坛--郭公庄西),all,72.6420034619318,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,1094,357.262770802309,4.283743206091012
line,692路(先农坛--郭公庄西),am_peak,54.621632308160834,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,156,472.8876451688677,15.009444146948242
line,692路(先农坛--郭公庄西),pm_peak,56.761309251273666,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,199,268.411150938689,7.647572974248333
line,692路(先农坛--郭公庄西),off_peak,78.9970587508801,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,708,328.4815575666196,4.850088542108094
line,692路(郭公庄西--永定门内),all,52.563658748777144,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,670,323.3136748887889,3.570569771272099
line,692路(郭公庄西--永定门内),am_peak,36.779949766433774,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,186,311.3007716131671,2.930337279779798
line,692路(郭公庄西--永定门内),off_peak,64.47939663052371,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,412,327.94916300588955,4.008334036192362
line,693路(育新小区--阜永路口西),all,79.99999999999999,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,3471,264.55137637558977,2.548754832883176
line,693路(育新小区--阜永路口西),am_peak,49.58177106470032,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,742,262.180014022486,2.9063554690748488
line,693路(育新小区--阜永路口西),pm_peak,79.99999999999999,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,561,195.43729342851174,5.03087586841038
line,693路(育新小区--阜永路口西),off_peak,79.99999999999999,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,2137,255.64471190859066,2.5038884735931095
line,693路(阜永路口西--育新小区),all,67.69473835097803,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,4556,427.2994538966361,1.8597415067789491
line,693路(阜永路口西--育新小区),am_peak,64.86722695733339,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,1095,292.4535946052959,2.8065762748956993
line,693路(阜永路口西--育新小区),pm_peak,73.28153385276187,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,720,333.56288905781787,4.5821062000711255
line,693路(阜永路口西--育新小区),off_peak,79.99999999999999,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,2657,490.714851954414,3.2263192152340827
line,695路(动物园枢纽站--时代庄园北站),all,62.04659251647191,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,1449,272.3868539995233,2.300177412346315
line,695路(动物园枢纽站--时代庄园北站),am_peak,58.61175883055257,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,426,300.92388575365976,4.854322279360019
line,695路(动物园枢纽站--时代庄园北站),off_peak,71.32146995514417,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,891,241.74882478627612,3.3006791883107636
line,695路(时代庄园北站--动物园枢纽站),all,79.99999999999999,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,1247,192.59713366249585,3.3574467540728095
line,695路(时代庄园北站--动物园枢纽站),am_peak,79.99999999999999,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,222,212.7986337350745,11.801793657256477
line,695路(时代庄园北站--动物园枢纽站),pm_peak,79.99999999999943,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,205,213.61082028119782,8.054447547320057
line,695路(时代庄园北站--动物园枢纽站),off_peak,79.99999999999999,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,803,183.67278657320028,4.0309822349145925
line,696路(国展新馆公交场站--芍药居公交场站),all,79.99999999999999,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,1273,231.80177974235423,2.94428947125559
line,696路(国展新馆公交场站--芍药居公交场站),am_peak,27.1069006074027,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,195,301.4128827379965,3.7012834405837345
line,696路(国展新馆公交场站--芍药居公交场站),pm_peak,79.99999999999999,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,279,169.8569630925333,6.511403374685878
line,696路(国展新馆公交场站--芍药居公交场站),off_peak,79.99999999999999,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,781,137.36039803580698,2.915492903085562
line,696路(芍药居公交场站--国展新馆公交场站),all,72.99214774910668,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,1684,170.27239808574288,2.4729223118137935
line,696路(芍药居公交场站--国展新馆公交场站),am_peak,61.957238518371774,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,365,177.64703321173693,3.622695813741456
line,696路(芍药居公交场站--国展新馆公交场站),pm_peak,73.36143364540705,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,262,134.15710145934847,5.670970002292227
line,696路(芍药居公交场站--国展新馆公交场站),off_peak,79.99999999999999,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,1042,143.16953423405482,2.617158045265491
line,698路(公主坟--香泉环岛),all,39.951186321078254,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,537,149.53153007213456,2.0815626936294467
line,698路(公主坟--香泉环岛),off_peak,44.720128355822645,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,297,115.11768378564958,2.868937212097623
line,698路(香泉环岛--公主坟),all,36.70296899439553,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,497,212.27321522228203,2.533949610103824
line,698路(香泉环岛--公主坟),off_peak,46.46282151529639,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,320,137.07955761545307,3.144454553159689
line,6路(六里桥东公交场站--龙潭公园),all,56.19652656536972,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,5048,419.2633559194206,1.55320203898315
line,6路(六里桥东公交场站--龙潭公园),am_peak,46.838625604635595,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,944,422.642999573625,2.872311284601677
line,6路(六里桥东公交场站--龙潭公园),pm_peak,79.99999999999999,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,407,406.7716455871084,10.229559856917927
line,6路(六里桥东公交场站--龙潭公园),off_peak,58.57872736601786,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,3676,407.5541717645801,1.6409338668737663
line,6路(龙潭公园--六里桥东),all,44.044036925367934,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,5472,414.7103795465013,0.8626237191218828
line,6路(龙潭公园--六里桥东),am_peak,37.33599380588861,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,823,241.51847328703525,1.3126255515387872
line,6路(龙潭公园--六里桥东),pm_peak,64.79054898029436,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,633,482.166908512051,5.32985559914552
line,6路(龙潭公园--六里桥东),off_peak,44.142362389864836,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,3997,426.48138891995154,0.8842066773514943
line,71路(友谊医院东--红寺桥),all,79.99999999999987,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,589,287.96796295383524,8.415275101556
line,71路(友谊医院东--红寺桥),off_peak,79.99999999999999,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,416,246.13353881829622,8.652698800779387
line,71路(红寺桥--友谊医院东),all,79.99999999999999,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,691,340.7150168116381,10.677067475877987
line,71路(红寺桥--友谊医院东),am_peak,73.48397776258668,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,170,270.17670116729727,20.554613238849967
